,TFIDF,username
kami,0.001732826953735189,radenrauf
sayangan,0.001732826953735189,radenrauf
minder,0.001732826953735189,radenrauf
lihat,0.001732826953735189,radenrauf
bagaimana,0.001732826953735189,radenrauf
marahin,0.001732826953735189,radenrauf
menjalani,0.001732826953735189,radenrauf
seninmu,0.001732826953735189,radenrauf
bodoamat,0.001732826953735189,radenrauf
permisi,0.001732826953735189,radenrauf
elu,0.001732826953735189,radenrauf
hatiku,0.001732826953735189,radenrauf
izin,0.001732826953735189,radenrauf
bertanya,0.001732826953735189,radenrauf
hilih,0.001732826953735189,radenrauf
bicit,0.001732826953735189,radenrauf
ketemu,0.001732826953735189,radenrauf
divaksin,0.001732826953735189,radenrauf
rese,0.001732826953735189,radenrauf
gamau,0.001732826953735189,radenrauf
sosmed,0.001732826953735189,radenrauf
saling,0.001732826953735189,radenrauf
marahan,0.001732826953735189,radenrauf
melengkung,0.001732826953735189,radenrauf
hubungan,0.001732826953735189,radenrauf
berlebihan,0.001732826953735189,radenrauf
belajarlah,0.001732826953735189,radenrauf
tinggal,0.001732826953735189,radenrauf
dewasa,0.001732826953735189,radenrauf
menemukan,0.001732826953735189,radenrauf
dijaga,0.001732826953735189,radenrauf
gas,0.001732826953735189,radenrauf
tak,0.001732826953735189,radenrauf
cewe,0.001732826953735189,radenrauf
pergi,0.001732826953735189,radenrauf
memutuskan,0.001732826953735189,radenrauf
kau,0.001732826953735189,radenrauf
presiden,0.001732826953735189,radenrauf
galak,0.001732826953735189,radenrauf
yaudah,0.001732826953735189,radenrauf
sedih,0.001732826953735189,radenrauf
saat,0.001732826953735189,radenrauf
terserah,0.001732826953735189,radenrauf
vaksinnya,0.001732826953735189,radenrauf
skip,0.001732826953735189,radenrauf
disayang,0.001732826953735189,radenrauf
kumpul,0.001732826953735189,radenrauf
keluarga,0.001732826953735189,radenrauf
nanya,0.001732826953735189,radenrauf
namanya,0.001732826953735189,radenrauf
pelarian,0.001732826953735189,radenrauf
lambung,0.001732826953735189,radenrauf
idup,0.001732826953735189,radenrauf
lakuin,0.001732826953735189,radenrauf
sensasi,0.001732826953735189,radenrauf
ngerasain,0.001732826953735189,radenrauf
bahagia,0.001732826953735189,radenrauf
dilancarkan,0.001732826953735189,radenrauf
dikit,0.001732826953735189,radenrauf
hambok,0.001732826953735189,radenrauf
bar,0.001732826953735189,radenrauf
selo,0.001732826953735189,radenrauf
podo,0.001732826953735189,radenrauf
waee,0.001732826953735189,radenrauf
penulisan,0.001732826953735189,radenrauf
termasuk,0.001732826953735189,radenrauf
tindakan,0.001732826953735189,radenrauf
berbahaya,0.001732826953735189,radenrauf
cupapimunyanyo,0.001732826953735189,radenrauf
sesekali,0.001732826953735189,radenrauf
umpan,0.001732826953735189,radenrauf
nyari,0.001732826953735189,radenrauf
ngerasa,0.001732826953735189,radenrauf
alright,0.001732826953735189,radenrauf
lulus,0.001732826953735189,radenrauf
maap,0.001732826953735189,radenrauf
sep,0.001732826953735189,radenrauf
aelah,0.001732826953735189,radenrauf
manusia,0.001732826953735189,radenrauf
ah,0.001732826953735189,radenrauf
salah,0.001732826953735189,radenrauf
modus,0.001732826953735189,radenrauf
disangka,0.001732826953735189,radenrauf
diperhatiin,0.001732826953735189,radenrauf
kejelasan,0.001732826953735189,radenrauf
keinginan,0.001732826953735189,radenrauf
menghabiskan,0.001732826953735189,radenrauf
tulus,0.001732826953735189,radenrauf
\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x8c,0.001732826953735189,radenrauf
jogja,0.001732826953735189,radenrauf
gampang,0.001732826953735189,radenrauf
hi,0.001732826953735189,radenrauf
are,0.001732826953735189,radenrauf
senengnya,0.001732826953735189,radenrauf
terima,0.001732826953735189,radenrauf
baik,0.0012790697416661338,radenrauf
pak,0.0012790697416661338,radenrauf
siap,0.0012790697416661338,radenrauf
gitu,0.0012790697416661338,radenrauf
karena,0.0012790697416661338,radenrauf
suntik,0.0012790697416661338,radenrauf
hal,0.0012790697416661338,radenrauf
males,0.0012790697416661338,radenrauf
minggu,0.0012790697416661338,radenrauf
maaf,0.0012790697416661338,radenrauf
sekarang,0.0012790697416661338,radenrauf
jarum,0.0012790697416661338,radenrauf
padahal,0.0012790697416661338,radenrauf
jangan,0.0012790697416661338,radenrauf
lupa,0.0012790697416661338,radenrauf
seperti,0.0012790697416661338,radenrauf
nanti,0.0012790697416661338,radenrauf
kan,0.0012790697416661338,radenrauf
film,0.0006395348708330669,radenrauf
rasanya,0.0006395348708330669,radenrauf
\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb,0.0006395348708330669,radenrauf
semuanya,0.0006395348708330669,radenrauf
saja,0.0006395348708330669,radenrauf
anak,0.0006395348708330669,radenrauf
dong,0.0006395348708330669,radenrauf
lho,0.0006395348708330669,radenrauf
sebuah,0.0006395348708330669,radenrauf
alasan,0.0006395348708330669,radenrauf
2021,0.0006395348708330669,radenrauf
jumat,0.0006395348708330669,radenrauf
dapet,0.0006395348708330669,radenrauf
indonesia,0.0006395348708330669,radenrauf
on,0.0006395348708330669,radenrauf
suruh,0.0006395348708330669,radenrauf
bikin,0.0006395348708330669,radenrauf
you,0.0006395348708330669,radenrauf
masa,0.0006395348708330669,radenrauf
