,TFIDF,username
ntar,0.01812796373946803,radenrauf
nsudah,0.01812796373946803,radenrauf
ntks,0.01812796373946803,radenrauf
sebenernya,0.01812796373946803,radenrauf
please,0.01812796373946803,radenrauf
temankita,0.01812796373946803,radenrauf
ternyata,0.01812796373946803,radenrauf
terjadi,0.01812796373946803,radenrauf
terdiam,0.01812796373946803,radenrauf
terbaru,0.01812796373946803,radenrauf
terbaik,0.01812796373946803,radenrauf
tenang,0.01812796373946803,radenrauf
tempat,0.01812796373946803,radenrauf
teman,0.01812796373946803,radenrauf
the,0.01812796373946803,radenrauf
tayang,0.01812796373946803,radenrauf
tawuran,0.01812796373946803,radenrauf
tau,0.01812796373946803,radenrauf
takutnya,0.01812796373946803,radenrauf
tak,0.01812796373946803,radenrauf
tai,0.01812796373946803,radenrauf
supportif,0.01812796373946803,radenrauf
tetap,0.01812796373946803,radenrauf
tida,0.01812796373946803,radenrauf
pnsjangan,0.01812796373946803,radenrauf
wing,0.01812796373946803,radenrauf
yg,0.01812796373946803,radenrauf
yaa,0.01812796373946803,radenrauf
xchai,0.01812796373946803,radenrauf
xblatihan,0.01812796373946803,radenrauf
xbbterima,0.01812796373946803,radenrauf
xb,0.01812796373946803,radenrauf
wuoooo,0.01812796373946803,radenrauf
wide,0.01812796373946803,radenrauf
time,0.01812796373946803,radenrauf
waktu,0.01812796373946803,radenrauf
voltex,0.01812796373946803,radenrauf
twitter,0.01812796373946803,radenrauf
turun,0.01812796373946803,radenrauf
tumis,0.01812796373946803,radenrauf
tulus,0.01812796373946803,radenrauf
toxic,0.01812796373946803,radenrauf
sudah,0.01812796373946803,radenrauf
story,0.01812796373946803,radenrauf
situnya,0.01812796373946803,radenrauf
sa,0.01812796373946803,radenrauf
sedang,0.01812796373946803,radenrauf
ngapain,0.01812796373946803,radenrauf
sarapan,0.01812796373946803,radenrauf
sakit,0.01812796373946803,radenrauf
sajalah,0.01812796373946803,radenrauf
saja,0.01812796373946803,radenrauf
sabar,0.01812796373946803,radenrauf
rusuhin,0.01812796373946803,radenrauf
situ,0.01812796373946803,radenrauf
ribu,0.01812796373946803,radenrauf
respon,0.01812796373946803,radenrauf
report,0.01812796373946803,radenrauf
rendah,0.01812796373946803,radenrauf
rebahan,0.01812796373946803,radenrauf
